CustomerID,Name,Age,City,Salary,Department,Experience
1,David,43.0,Hyderabad,70586.0,Sales,13.0
2,Frank,35.0,Chennai,,Sales,17.0
3,Ivy,59.0,Bengaluru,25377.0,Sales,16.0
4,Eva,46.0,Chennai,114825.0,Finance,1.0
5,Ivy,50.0,Mumbai,101142.0,IT,
6,David,22.0,Mumbai,,Support,12.0
7,,,Mumbai,87818.0,IT,3.0
8,Charlie,46.0,Delhi,59274.0,Support,5.0
9,David,51.0,Chennai,50500.0,HR,10.0
10,Henry,25.0,Chennai,63048.0,IT,12.0
11,Ivy,39.0,Hyderabad,,IT,14.0
12,,58.0,Pune,114225.0,IT,9.0
13,Ivy,48.0,Chennai,111533.0,,8.0
14,Grace,48.0,Pune,70534.0,IT,0.0
15,Eva,47.0,Delhi,62564.0,Support,3.0
16,David,45.0,Mumbai,60364.0,HR,13.0
17,Ivy,21.0,Hyderabad,35938.0,Support,5.0
18,Henry,52.0,Pune,27928.0,Support,20.0
19,Ivy,49.0,Bengaluru,32611.0,HR,5.0
20,Henry,,Bengaluru,,Finance,1.0
21,David,57.0,Hyderabad,31446.0,,
22,Ivy,28.0,Pune,,Finance,20.0
23,Frank,56.0,Hyderabad,36986.0,IT,10.0
24,Alice,27.0,Pune,98668.0,HR,1.0
25,Ivy,30.0,Mumbai,38705.0,IT,4.0
26,Grace,53.0,Bengaluru,27749.0,,20.0
27,Charlie,39.0,Hyderabad,52813.0,Support,
28,David,57.0,Mumbai,87393.0,Support,14.0
29,Bob,49.0,Pune,108517.0,,16.0
30,Eva,46.0,Pune,44751.0,Sales,18.0
31,Charlie,22.0,Bengaluru,78178.0,Support,11.0
32,Bob,54.0,Chennai,100068.0,HR,11.0
33,Jack,24.0,Mumbai,65148.0,HR,
34,,49.0,Bengaluru,89842.0,IT,20.0
35,,29.0,Pune,59018.0,HR,20.0
36,Jack,23.0,Bengaluru,119233.0,Finance,13.0
37,Eva,32.0,Hyderabad,91189.0,Support,2.0
38,,23.0,Delhi,75569.0,HR,17.0
39,Henry,25.0,Delhi,56466.0,IT,0.0
40,,33.0,Pune,81773.0,Support,15.0
41,Bob,43.0,Bengaluru,,Finance,9.0
42,Bob,43.0,Delhi,62632.0,Support,4.0
43,Charlie,,Pune,57851.0,HR,0.0
44,Henry,24.0,Hyderabad,89438.0,,15.0
45,Eva,32.0,,88196.0,Support,16.0
46,Ivy,49.0,Delhi,,IT,15.0
47,Henry,49.0,Delhi,77862.0,Support,
48,,,Mumbai,109816.0,HR,9.0
49,Jack,52.0,Pune,68514.0,Sales,17.0
50,,59.0,Pune,,Sales,5.0
51,Bob,26.0,Chennai,84125.0,Sales,0.0
52,Jack,32.0,Hyderabad,107204.0,Finance,18.0
53,Alice,36.0,Mumbai,30332.0,Support,17.0
54,Bob,34.0,Pune,39629.0,Support,
55,Eva,38.0,Pune,28623.0,HR,2.0
56,Alice,,Bengaluru,90048.0,Sales,3.0
57,Henry,52.0,Delhi,99364.0,HR,7.0
58,David,43.0,Delhi,108673.0,Sales,5.0
59,Ivy,36.0,Pune,101291.0,,5.0
60,Charlie,,Mumbai,112032.0,HR,14.0
61,David,31.0,Bengaluru,110714.0,Support,11.0
62,Grace,35.0,Pune,97766.0,HR,0.0
63,Charlie,27.0,Delhi,77804.0,HR,16.0
64,Jack,53.0,Bengaluru,115823.0,HR,2.0
65,Ivy,26.0,,44121.0,IT,2.0
66,Frank,21.0,,,IT,17.0
67,Henry,21.0,Hyderabad,,Sales,0.0
68,Alice,57.0,Hyderabad,,,
69,David,36.0,Hyderabad,72685.0,Support,5.0
70,Jack,29.0,Bengaluru,34814.0,IT,
71,Charlie,27.0,Chennai,111120.0,Support,13.0
72,Charlie,47.0,Chennai,60409.0,,2.0
73,Frank,,Mumbai,81632.0,Support,11.0
74,Ivy,55.0,Mumbai,80804.0,IT,14.0
75,Henry,,Hyderabad,106527.0,,4.0
76,Eva,23.0,Bengaluru,77627.0,Finance,9.0
77,Charlie,41.0,Bengaluru,40620.0,HR,6.0
78,David,56.0,Delhi,56063.0,IT,
79,Ivy,54.0,Mumbai,28043.0,Finance,13.0
80,Frank,41.0,Hyderabad,110198.0,Finance,14.0
81,Henry,,Mumbai,56082.0,Sales,18.0
82,Grace,48.0,Delhi,,Sales,13.0
83,Frank,55.0,Pune,91974.0,IT,19.0
84,Eva,48.0,Mumbai,,HR,
85,Eva,25.0,Pune,87602.0,HR,0.0
86,Eva,54.0,Bengaluru,41381.0,,13.0
87,Bob,21.0,,71054.0,Finance,17.0
88,Alice,58.0,Hyderabad,69614.0,IT,19.0
89,Henry,,Chennai,116284.0,Finance,15.0
90,Charlie,55.0,Chennai,72751.0,HR,
91,Eva,51.0,,93083.0,Finance,20.0
92,Bob,26.0,Pune,,Support,7.0
93,Eva,45.0,Pune,,HR,3.0
94,,32.0,Chennai,,HR,4.0
95,Frank,24.0,Bengaluru,77559.0,Finance,6.0
96,Grace,58.0,Delhi,109523.0,HR,20.0
97,David,60.0,Pune,108513.0,,10.0
98,,60.0,Pune,,IT,16.0
99,Bob,21.0,Bengaluru,,Finance,15.0
100,Alice,51.0,Chennai,53748.0,IT,5.0
